Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
A1BG	alpha-1-B glycoprotein	1	MGI:2152878	NM_130786
A1BG-AS1	A1BG antisense RNA 1	503538		NR_015380
A1CF	APOBEC1 complementation factor	29974	MGI:1917115	NM_014576
A1S9T~withdrawn	symbol withdrawn, see UBA1			
A2M	alpha-2-macroglobulin	2	MGI:2449119	NM_000014
A2M-AS1	A2M antisense RNA 1 (head to head)	144571		NR_026971
A2ML1	alpha-2-macroglobulin like 1	144568		NM_144670
A2ML1-AS1	A2ML1 antisense RNA 1			
A2ML1-AS2	A2ML1 antisense RNA 2			
A2MP1	alpha-2-macroglobulin pseudogene 1	3		NG_001067
A2MR~withdrawn	symbol withdrawn, see LRP1			
A2MRAP~withdrawn	symbol withdrawn, see LRPAP1			
A3GALT2	alpha 1,3-galactosyltransferase 2	127550	MGI:2685279	NM_001080438
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	MGI:3512453	NM_017436
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	MGI:2143261	NM_016161
A12M1~withdrawn	entry withdrawn			
A12M2~withdrawn	entry withdrawn			
A12M3~withdrawn	entry withdrawn			
A12M4~withdrawn	entry withdrawn			
AA~withdrawn	symbol withdrawn, see TEAD1			
AAAS	aladin WD repeat nucleoporin	8086	MGI:2443767	
AABT~withdrawn	entry withdrawn			
AAC1~withdrawn	symbol withdrawn, see NAT1			
AAC2~withdrawn	symbol withdrawn, see NAT2			
AACS	acetoacetyl-CoA synthetase	65985	MGI:1926144	NM_023928
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522		NR_024035
AACT~withdrawn	symbol withdrawn, see SERPINA3			
AADAC	arylacetamide deacetylase	13	MGI:1915008	NM_001086
AADACL2	arylacetamide deacetylase like 2	344752	MGI:3646333	NM_207365
AADACL2-AS1	AADACL2 antisense RNA 1	101928142		
AADACL3	arylacetamide deacetylase like 3	126767	MGI:2685281	NM_001103170
AADACL4	arylacetamide deacetylase like 4	343066		NM_001013630
AADACP1	arylacetamide deacetylase pseudogene 1	201651		
AADAT	aminoadipate aminotransferase	51166	MGI:1345167	NM_016228
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	195827	MGI:1913379	NM_153698
AAGAB	alpha and gamma adaptin binding protein	79719	MGI:1914189	NM_024666
AAK1	AP2 associated kinase 1	22848	MGI:1098687	NM_014911
AAMDC	adipogenesis associated Mth938 domain containing	28971	MGI:1913523	NM_024684
AAMP	angio associated migratory cell protein	14	MGI:107809	NM_001087
AANAT	aralkylamine N-acetyltransferase	15	MGI:1328365	NM_001088
AAR2	AAR2 splicing factor homolog	25980	MGI:1915545	NM_015511
AARD	alanine and arginine rich domain containing protein	441376	MGI:2181621	NM_001025357
AARS	alanyl-tRNA synthetase	16	MGI:2384560	NM_001605
AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	MGI:2681839	NM_020745
AARSD1	alanyl-tRNA synthetase domain containing 1	80755	MGI:1916934	NM_001261434
AARSP1	alanyl-tRNA synthetase pseudogene 1			
AASDH	aminoadipate-semialdehyde dehydrogenase	132949	MGI:2442517	NM_181806
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	MGI:1914868	NM_015423
